h3_cell,lat,lng,visit_count,resolution,country
08a64821249a7fff,18.726870895633564,98.91118692899262,1,10,Thailand
08a64821269b7fff,18.750510099897525,98.91873685783513,1,10,Thailand
08a6482130d0ffff,18.799967644328536,98.93403513958398,1,10,Thailand
08a6482130d27fff,18.798700096901126,98.93596428503093,1,10,Thailand
08a6482130d2ffff,18.798815130741097,98.93461310238163,1,10,Thailand
08a6482130d77fff,18.79893015503738,98.93326191580913,1,10,Thailand
08a6482134487fff,18.796626928886766,98.9473515045828,1,10,Thailand
08a648213448ffff,18.79674204264274,98.9460003598431,1,10,Thailand
08a6482134497fff,18.79766436291445,98.94812475208646,1,10,Thailand
08a648213449ffff,18.79777948263696,98.94677360481263,1,10,Thailand
08a64821344a7fff,18.79547436717974,98.94792939953771,1,10,Thailand
08a64821344b7fff,18.796511805589905,98.94870264538532,1,10,Thailand
08a64821344d7fff,18.796857146857583,98.94464921116773,1,10,Thailand
08a64821344dffff,18.796972241531073,98.94329805855816,1,10,Thailand
08a6482134587fff,18.79420666707337,98.94985841753663,1,10,Thailand
08a648213458ffff,18.794321797517085,98.94850728967731,1,10,Thailand
08a648213459ffff,18.79535924030914,98.94928053386874,1,10,Thailand
08a64821345b7fff,18.794091527090334,98.95120954145611,1,10,Thailand
08a6482134697fff,18.798470000591056,98.9386666385541,1,10,Thailand
08a648213469ffff,18.798585053517698,98.9373154637556,1,10,Thailand
08a6482136027fff,18.807576575034226,98.94832827839258,9,10,Thailand
08a6482136037fff,18.808613935363457,98.9491015551251,10,10,Thailand
08a6482136117fff,18.80734629496895,98.95103064610868,10,10,Thailand
08a6482136127fff,18.805156424702687,98.95083526796374,9,10,Thailand
08a648213612ffff,18.805271567114858,98.9494840950807,8,10,Thailand
08a6482136137fff,18.806193787839018,98.95160854391523,11,10,Thailand
08a6482136157fff,18.806539204347335,98.94755500584978,9,10,Thailand
08a6482136167fff,18.80434931455124,98.94735965156107,9,10,Thailand
08a6482136177fff,18.805386699981998,98.94813291825795,9,10,Thailand
08a64821361affff,18.808498794134316,98.95045274348593,10,10,Thailand
08a648213650ffff,18.813685410521867,98.95431920264217,1,10,Thailand
08a6482136517fff,18.814607516103926,98.95644370663888,1,10,Thailand
08a648213651ffff,18.81472270270947,98.95509250703762,1,10,Thailand
08a6482136537fff,18.813455039707982,98.95702159283991,1,10,Thailand
08a6482136577fff,18.81264810796948,98.95354590243444,1,10,Thailand
08a6482136807fff,18.800661455725102,98.95179567066616,1,10,Thailand
08a6482136817fff,18.801698842377,98.95256893745773,1,10,Thailand
08a6482136827fff,18.79950890797824,98.95237355252245,1,10,Thailand
08a648213682ffff,18.799624058719335,98.9510224080629,1,10,Thailand
08a6482136887fff,18.803888749690305,98.95276432507961,2,10,Thailand
08a648213688ffff,18.80400390522195,98.95141316261122,1,10,Thailand
08a648213689ffff,18.80504127274574,98.95218643690556,1,10,Thailand
08a64821368affff,18.802851377779657,98.95199105244257,2,10,Thailand
08a64821368b7fff,18.803773584614774,98.9541154836047,2,10,Thailand
08a64821368c7fff,18.803081667360516,98.94928872862728,1,10,Thailand
08a64821368cffff,18.803196797835167,98.9479375608097,8,10,Thailand
08a64821368dffff,18.80423418765266,98.94871082585047,9,10,Thailand
08a64821368f7fff,18.802966527341933,98.95063989250538,1,10,Thailand
08a648213690ffff,18.79835635227402,98.95295142956257,1,10,Thailand
08a648213692ffff,18.797203788613647,98.95352930178652,1,10,Thailand
08a6482136a47fff,18.800659985973684,98.93886193074769,1,10,Thailand
08a6482136a67fff,18.79950746602873,98.93943987249335,1,10,Thailand
08a6482136a6ffff,18.799622524919386,98.93808869515507,1,10,Thailand
08a6482136a77fff,18.800544921118536,98.94021311062527,1,10,Thailand
08a6482136b27fff,18.797894592817915,98.94542245360225,1,10,Thailand
08a6482136b47fff,18.79823986610907,98.94136897636668,1,10,Thailand
08a6482136b5ffff,18.799392397594666,98.94079104590311,1,10,Thailand
08a6482136b77fff,18.798124784554204,98.9427201393778,1,10,Thailand
08a6482136c07fff,18.807922944795227,98.95720862614722,13,10,Thailand
08a6482136c0ffff,18.808038133754703,98.95585745750563,19,10,Thailand
08a6482136c17fff,18.808960258939074,98.95798192224986,6,10,Thailand
08a6482136c1ffff,18.809075453870726,98.95663075108035,2,10,Thailand
08a6482136c27fff,18.806770427757062,98.95778649639689,94,10,Thailand
08a6482136c2ffff,18.80688562028977,98.95643533423113,26,10,Thailand
08a6482136c37fff,18.807807746290397,98.9585597908405,4,10,Thailand
08a6482136c47fff,18.807115976720162,98.95373299805881,11,10,Thailand
08a6482136c4ffff,18.807231140617375,98.95238182405522,2,10,Thailand
08a6482136c57fff,18.80815331316859,98.95450628491722,15,10,Thailand
08a6482136c67fff,18.805963462440356,98.95431088291755,2,10,Thailand
08a6482136c6ffff,18.806078629912175,98.95295971538818,11,10,Thailand
08a6482136c77fff,18.80700080327755,98.95508416811793,1,10,Thailand
08a6482136c87fff,18.811150063014917,98.95817735078992,2,10,Thailand
08a6482136c97fff,18.81218735204088,98.95895065692429,2,10,Thailand
08a6482136c9ffff,18.81230255534458,98.95759947422361,1,10,Thailand
